time,C2H4,CH3CH2OO
0.0,134111161179.87733,2112704812067.489
0.001,642042314153.2612,3508348048836.5605
0.002,1076729136957.1273,3203537710008.371
0.003,1631232169255.7515,2917875067441.609
0.004,1956031710495.9558,2652636739910.2764
0.005,2189086509384.6606,2142613700134.776
0.006,2576359879816.9453,1975499206244.3958
0.007,2736322273629.688,1708656737565.6238
0.008,3007088714025.482,1487203555777.3875
0.009000000000000001,3303090944298.5327,1363746818312.5662
0.01,3144408592134.8438,1009821473739.0225
0.011,3585058427957.4243,923385443471.9169
0.012,3741720550877.0464,843243252054.7507
0.013000000000000001,3385237178908.702,764770678869.9178
0.014,3552934278712.062,623189661720.6798
0.015,3861066932293.9673,524027504918.1601
0.016,4016397949893.821,463941362550.307
0.017,4092212057888.459,413318617086.3351
0.018000000000000002,4203570311219.2075,369851417909.1218
0.019,4168696065439.1367,294468950196.39905
0.02,3865865760736.694,299022218435.0227
0.021,4322911809357.6206,259110199708.24084
0.022,4057001604271.1367,219068953571.25433
0.023,4517796928395.749,186283692527.10327
0.024,4053579446065.0723,156728922272.37344
0.025,3939152702615.5596,134640784266.08821
0.026000000000000002,4048364610777.186,129092131741.04128
0.027,4318406299863.7373,96141591536.88701
0.028,4091197319813.6646,92423658692.38126
0.029,4327073182169.562,86100553844.2133
0.03,3974584428963.2783,71065003273.54315
